reviewer_id,case_id,decision_category,authenticity_preservation,narrative_specificity,directional_usefulness,non_genericness,strategic_differentiation,student_fit,clarity_of_recommendation,evidence_grounded_interpretation,actionability,safety_policy_compliance,failure_modes,rationale,gold_candidate,generalizable_learning
reviewer_name,RIC-NDS-CTRL-001,approve|approve with minor edits|usable but weak|not usable|unsafe or off-policy,1,1,1,1,1,1,1,1,1,1,generic advice:low|weak actionability:medium,specific rationale (required),false,false
reviewer_name,RIC-NDS-CTRL-002,approve|approve with minor edits|usable but weak|not usable|unsafe or off-policy,1,1,1,1,1,1,1,1,1,1,generic advice:low|weak actionability:medium,specific rationale (required),false,false
reviewer_name,RIC-NDS-CTRL-003,approve|approve with minor edits|usable but weak|not usable|unsafe or off-policy,1,1,1,1,1,1,1,1,1,1,generic advice:low|weak actionability:medium,specific rationale (required),false,false
reviewer_name,RIC-NDS-CTRL-004,approve|approve with minor edits|usable but weak|not usable|unsafe or off-policy,1,1,1,1,1,1,1,1,1,1,generic advice:low|weak actionability:medium,specific rationale (required),false,false
reviewer_name,RIC-NDS-CTRL-005,approve|approve with minor edits|usable but weak|not usable|unsafe or off-policy,1,1,1,1,1,1,1,1,1,1,generic advice:low|weak actionability:medium,specific rationale (required),false,false
reviewer_name,RIC-NDS-CTRL-006,approve|approve with minor edits|usable but weak|not usable|unsafe or off-policy,1,1,1,1,1,1,1,1,1,1,generic advice:low|weak actionability:medium,specific rationale (required),false,false
reviewer_name,RIC-NDS-CTRL-007,approve|approve with minor edits|usable but weak|not usable|unsafe or off-policy,1,1,1,1,1,1,1,1,1,1,generic advice:low|weak actionability:medium,specific rationale (required),false,false
reviewer_name,RIC-NDS-CTRL-008,approve|approve with minor edits|usable but weak|not usable|unsafe or off-policy,1,1,1,1,1,1,1,1,1,1,generic advice:low|weak actionability:medium,specific rationale (required),false,false
reviewer_name,RIC-NDS-CTRL-009,approve|approve with minor edits|usable but weak|not usable|unsafe or off-policy,1,1,1,1,1,1,1,1,1,1,generic advice:low|weak actionability:medium,specific rationale (required),false,false
reviewer_name,RIC-NDS-CTRL-011,approve|approve with minor edits|usable but weak|not usable|unsafe or off-policy,1,1,1,1,1,1,1,1,1,1,generic advice:low|weak actionability:medium,specific rationale (required),false,false
reviewer_name,RIC-NDS-CTRL-012,approve|approve with minor edits|usable but weak|not usable|unsafe or off-policy,1,1,1,1,1,1,1,1,1,1,generic advice:low|weak actionability:medium,specific rationale (required),false,false
reviewer_name,RIC-NDS-CTRL-017,approve|approve with minor edits|usable but weak|not usable|unsafe or off-policy,1,1,1,1,1,1,1,1,1,1,generic advice:low|weak actionability:medium,specific rationale (required),false,false
